primaryTitle,startYear,averageRating,numVotes,primaryTitle_clean,title,date_added,release_year,title_clean
SAS: Rise of the Black Swan,2021,5.3,22550,sas: rise of the black swan,SAS: Rise of the Black Swan,2021-08-27,2021,sas: rise of the black swan
Itaewon Class,2020,8.2,22547,itaewon class,Itaewon Class,2020-02-01,2020,itaewon class
The Package,2018,5.6,22542,the package,The Package,2018-08-10,2018,the package
Into the Forest,2015,5.8,22505,into the forest,Into the Forest,2018-11-07,2015,into the forest
The Willoughbys,2020,6.4,22394,the willoughbys,The Willoughbys,2020-04-22,2020,the willoughbys
The Game Changers,2018,7.8,22334,the game changers,The Game Changers,2019-10-16,2018,the game changers
Toc Toc,2017,6.8,22324,toc toc,Toc Toc,2018-05-01,2017,toc toc
Criminal: UK,2019,7.7,22298,criminal: uk,Criminal: UK,2020-09-16,2020,criminal: uk
Mine,2016,5.8,22282,mine,Mine,2021-05-09,2021,mine
Happy as Lazzaro,2018,7.5,22185,happy as lazzaro,Happy as Lazzaro,2018-11-30,2018,happy as lazzaro
Glitch,2015,7.2,22183,glitch,Glitch,2019-09-25,2019,glitch
Below Zero,2021,6.2,22178,below zero,Below Zero,2021-01-29,2021,below zero
Genius,2016,6.5,22117,genius,Genius,2019-02-17,2018,genius
The Super,2017,5.2,22087,the super,The Super,2019-02-16,2017,the super
Kidnapping Mr. Heineken,2015,6.1,22087,kidnapping mr. heineken,Kidnapping Mr. Heineken,2017-09-08,2015,kidnapping mr. heineken
Set Up,2011,4.4,22026,set up,Set Up,2020-01-10,2011,set up
River's Edge,1986,6.9,21983,river's edge,River's Edge,2019-03-02,2018,river's edge
Wadjda,2012,7.5,21941,wadjda,Wadjda,2020-05-19,2012,wadjda
Tallulah,2016,6.7,21921,tallulah,Tallulah,2016-07-29,2016,tallulah
Two Distant Strangers,2020,6.9,21910,two distant strangers,Two Distant Strangers,2021-04-09,2021,two distant strangers
The Great Train Robbery,1903,7.2,21869,the great train robbery,The Great Train Robbery,2017-03-31,2013,the great train robbery
5 to 7,2014,7.1,21864,5 to 7,5 to 7,2017-03-16,2014,5 to 7
Casa de mi Padre,2012,5.5,21863,casa de mi padre,Casa de mi Padre,2012-11-14,2012,casa de mi padre
Queer Eye,2018,8.5,21809,queer eye,Queer Eye,2020-06-05,2020,queer eye
Quartet,2012,6.8,21809,quartet,Quartet,2021-08-08,2012,quartet
In a Valley of Violence,2016,6.1,21805,in a valley of violence,In a Valley of Violence,2020-10-16,2016,in a valley of violence
A Private War,2018,6.7,21801,a private war,A Private War,2021-06-05,2018,a private war
The Dawn Wall,2017,8.1,21754,the dawn wall,The Dawn Wall,2019-03-04,2017,the dawn wall
The Returned,2012,8.0,21746,the returned,The Returned,2019-02-17,2015,the returned
Seven Seconds,2018,7.7,21657,seven seconds,Seven Seconds,2018-02-23,2018,seven seconds
Grand Hotel,1932,7.3,21607,grand hotel,Grand Hotel,2017-11-01,2013,grand hotel
My Girl 2,1994,5.3,21552,my girl 2,My Girl 2,2021-08-01,1994,my girl 2
Blue Jay,2016,7.3,21519,blue jay,Blue Jay,2016-12-06,2016,blue jay
The Knight Before Christmas,2019,5.6,21510,the knight before christmas,The Knight Before Christmas,2019-11-21,2019,the knight before christmas
Jingle Jangle: A Christmas Journey,2020,6.4,21504,jingle jangle: a christmas journey,Jingle Jangle: A Christmas Journey,2020-11-13,2020,jingle jangle: a christmas journey
I Don't Know How She Does It,2011,5.0,21484,i don't know how she does it,I Don't Know How She Does It,2019-03-23,2011,i don't know how she does it
Dead Set,2008,7.6,21469,dead set,Dead Set,2016-09-01,2008,dead set
El Chapo,2017,7.8,21438,el chapo,El Chapo,2018-07-27,2018,el chapo
Never Back Down 2: The Beatdown,2011,5.6,21377,never back down 2: the beatdown,Never Back Down 2: The Beatdown,2021-06-02,2011,never back down 2: the beatdown
Gol Maal,1979,8.5,21353,gol maal,Gol Maal,2019-12-31,1979,gol maal
"Crouching Tiger, Hidden Dragon: Sword of Destiny",2016,6.1,21339,"crouching tiger, hidden dragon: sword of destiny","Crouching Tiger, Hidden Dragon: Sword of Destiny",2016-02-26,2016,"crouching tiger, hidden dragon: sword of destiny"
The Rugrats Movie,1998,5.9,21326,the rugrats movie,The Rugrats Movie,2019-10-01,1998,the rugrats movie
First They Killed My Father,2017,7.2,21293,first they killed my father,First They Killed My Father,2017-09-15,2017,first they killed my father
Aquarius,2016,7.4,21269,aquarius,Aquarius,2017-06-16,2016,aquarius
Rurouni Kenshin,1996,8.5,21250,rurouni kenshin,Rurouni Kenshin,2020-01-01,1998,rurouni kenshin
Eddie Murphy: Raw,1987,7.6,21245,eddie murphy: raw,Eddie Murphy: Raw,2021-01-01,1987,eddie murphy: raw
Horse Girl,2020,6.0,21212,horse girl,Horse Girl,2020-02-07,2020,horse girl
Heartland,2007,8.4,21196,heartland,Heartland,2021-02-01,2019,heartland
Unicorn Store,2017,5.6,21177,unicorn store,Unicorn Store,2019-04-05,2019,unicorn store
Winter on Fire: Ukraine's Fight for Freedom,2015,8.3,21114,winter on fire: ukraine's fight for freedom,Winter on Fire: Ukraine's Fight for Freedom,2015-10-09,2015,winter on fire: ukraine's fight for freedom
Superstar,1999,5.2,21024,superstar,Superstar,2019-11-20,1999,superstar
War on Everyone,2016,5.8,20998,war on everyone,War on Everyone,2019-12-03,2016,war on everyone
We Need to Talk,2021,9.5,20958,we need to talk,We Need to Talk,2016-09-01,2016,we need to talk
Eye for an Eye,1996,6.2,20946,eye for an eye,Eye For An Eye,2020-01-15,2019,eye for an eye
Dark Crimes,2016,4.6,20906,dark crimes,Dark Crimes,2019-10-15,2016,dark crimes
Big Miracle,2012,6.5,20888,big miracle,Big Miracle,2018-09-30,2012,big miracle
Dil Dhadakne Do,2015,7.0,20883,dil dhadakne do,Dil Dhadakne Do,2019-12-15,2015,dil dhadakne do
Crime Scene: The Vanishing at the Cecil Hotel,2021,6.0,20847,crime scene: the vanishing at the cecil hotel,Crime Scene: The Vanishing at the Cecil Hotel,2021-02-10,2021,crime scene: the vanishing at the cecil hotel
He-Man and the Masters of the Universe,1983,7.5,20827,he-man and the masters of the universe,He-Man and the Masters of the Universe,2021-09-16,2021,he-man and the masters of the universe
Toradora!,2008,7.9,20818,toradora!,Toradora!,2020-08-01,2008,toradora!
Detour,1945,7.3,20793,detour,Detour,2017-05-25,2016,detour
The Occupant,2020,6.4,20771,the occupant,The Occupant,2020-03-25,2020,the occupant
She-Ra and the Princesses of Power,2018,8.1,20764,she-ra and the princesses of power,She-Ra and the Princesses of Power,2020-05-15,2020,she-ra and the princesses of power
Kodachrome,2017,6.8,20747,kodachrome,Kodachrome,2018-04-20,2018,kodachrome
On My Block,2018,7.8,20747,on my block,On My Block,2020-03-11,2020,on my block
The Best of Enemies,2019,7.3,20729,the best of enemies,The Best of Enemies,2021-07-01,2019,the best of enemies
Metallica: Some Kind of Monster,2004,7.5,20727,metallica: some kind of monster,Metallica: Some Kind of Monster,2021-06-13,2014,metallica: some kind of monster
We Bare Bears,2014,7.8,20709,we bare bears,We Bare Bears,2020-02-12,2018,we bare bears
Life of Crime,2013,5.8,20674,life of crime,Life of Crime,2021-06-15,2013,life of crime
Ready,2011,4.9,20587,ready,Ready,2017-10-22,2011,ready
Hell Fest,2018,5.5,20579,hell fest,Hell Fest,2021-01-31,2018,hell fest
Scarecrow,1973,7.2,20547,scarecrow,Scarecrow,2020-08-20,2019,scarecrow
Tracers,2015,5.6,20466,tracers,Tracers,2019-10-22,2015,tracers
Strong Girl Bong-soon,2017,8.1,20463,strong girl bong-soon,Strong Girl Bong-soon,2019-11-24,2017,strong girl bong-soon
Little Monsters,2019,6.3,20456,little monsters,Little Monsters,2020-11-01,1989,little monsters
Wazir,2016,7.1,20406,wazir,Wazir,2021-04-01,2016,wazir
Raat Akeli Hai,2020,7.2,20394,raat akeli hai,Raat Akeli Hai,2020-07-31,2020,raat akeli hai
Brand New Cherry Flavor,2021,7.1,20383,brand new cherry flavor,Brand New Cherry Flavor,2021-08-13,2021,brand new cherry flavor
Singham,2011,6.8,20378,singham,Singham,2020-11-19,2011,singham
Golmaal: Fun Unlimited,2006,7.5,20326,golmaal: fun unlimited,Golmaal: Fun Unlimited,2019-12-31,2006,golmaal: fun unlimited
The Congress,2013,6.4,20306,the congress,The Congress,2019-08-23,2013,the congress
Girlboss,2017,7.0,20301,girlboss,Girlboss,2017-04-21,2017,girlboss
Skin,2018,6.8,20296,skin,Skin,2020-06-28,2019,skin
Next Gen,2018,6.6,20274,next gen,Next Gen,2018-09-07,2018,next gen
Guzaarish,2010,7.4,20267,guzaarish,Guzaarish,2018-08-02,2010,guzaarish
Hangman,2017,5.2,20261,hangman,Hangman,2020-05-06,2017,hangman
The Night Clerk,2020,5.6,20255,the night clerk,The Night Clerk,2020-06-06,2020,the night clerk
The I-Land,2019,4.7,20183,the i-land,The I-Land,2019-09-12,2019,the i-land
Marianne,2019,7.3,20176,marianne,Marianne,2019-09-13,2019,marianne
Rascal Does Not Dream of Bunny Girl Senpai,2018,8.0,20162,rascal does not dream of bunny girl senpai,Rascal Does Not Dream of Bunny Girl Senpai,2021-08-15,2018,rascal does not dream of bunny girl senpai
Intelligence,2014,6.8,20160,intelligence,Intelligence,2017-07-19,2007,intelligence
Earth to Echo,2014,5.7,20113,earth to echo,Earth to Echo,2019-10-01,2014,earth to echo
Alex Strangelove,2018,6.3,20059,alex strangelove,Alex Strangelove,2018-06-08,2018,alex strangelove
The Monster,2016,5.4,20051,the monster,The Monster,2019-01-09,2016,the monster
The Witch: Part 1 - The Subversion,2018,7.1,19952,the witch: part 1 - the subversion,The Witch: Part 1 - The Subversion,2020-06-10,2018,the witch: part 1 - the subversion
Tremors 3: Back to Perfection,2001,5.3,19950,tremors 3: back to perfection,Tremors 3: Back to Perfection,2020-01-01,2001,tremors 3: back to perfection
Killer Inside: The Mind of Aaron Hernandez,2020,7.3,19941,killer inside: the mind of aaron hernandez,Killer Inside: The Mind of Aaron Hernandez,2020-01-15,2020,killer inside: the mind of aaron hernandez
Thank You,2015,9.2,19924,thank you,Thank You,2018-08-02,2011,thank you
Kabhi Haan Kabhi Naa,1994,7.6,19906,kabhi haan kabhi naa,Kabhi Haan Kabhi Naa,2017-05-15,1994,kabhi haan kabhi naa
Scooby-Doo on Zombie Island,1998,7.7,19849,scooby-doo on zombie island,Scooby-Doo on Zombie Island,2019-12-15,1998,scooby-doo on zombie island
Dhamaal,2007,7.5,19793,dhamaal,Dhamaal,2019-12-31,2007,dhamaal
H2O: Just Add Water,2006,7.3,19789,h2o: just add water,H2O: Just Add Water,2020-10-02,2009,h2o: just add water
Bitten,2014,6.9,19788,bitten,Bitten,2016-05-26,2016,bitten
"Love, Guaranteed",2020,5.6,19716,"love, guaranteed","Love, Guaranteed",2020-09-03,2020,"love, guaranteed"
Like Water for Chocolate,1992,7.1,19711,like water for chocolate,Like Water for Chocolate,2019-11-01,1992,like water for chocolate
Hard Kill,2020,3.1,19696,hard kill,Hard Kill,2020-11-23,2020,hard kill
The Vatican Tapes,2015,4.7,19653,the vatican tapes,The Vatican Tapes,2020-04-20,2015,the vatican tapes
Versailles,2015,7.9,19628,versailles,Versailles,2019-03-29,2018,versailles
Worth,2020,6.8,19627,worth,Worth,2021-09-03,2021,worth
Sandy Wexler,2017,5.2,19574,sandy wexler,Sandy Wexler,2017-04-14,2017,sandy wexler
Raajneeti,2010,7.1,19538,raajneeti,Raajneeti,2018-08-02,2010,raajneeti
Roots,1977,8.4,19510,roots,Roots,2017-11-01,2016,roots
Iris,2001,7.0,19479,iris,Iris,2020-05-16,2009,iris
Dangerous Lies,2020,5.4,19478,dangerous lies,Dangerous Lies,2020-04-30,2020,dangerous lies
The Prince,2014,4.6,19444,the prince,The Prince,2019-02-22,2014,the prince
The Chair,2021,7.2,19411,the chair,The Chair,2021-08-20,2021,the chair
Night Moves,1975,7.1,19394,night moves,Night Moves,2019-06-30,2013,night moves
Human Nature,2001,6.4,19311,human nature,Human Nature,2020-10-01,2019,human nature
Mrs. Serial Killer,2020,4.0,19304,mrs. serial killer,Mrs. Serial Killer,2020-05-01,2020,mrs. serial killer
Gypsy,2017,6.7,19302,gypsy,Gypsy,2017-06-30,2017,gypsy
The Bachelor,1999,5.1,19261,the bachelor,The Bachelor,2019-12-01,2009,the bachelor
The Accidental Spy,2001,5.8,19261,the accidental spy,The Accidental Spy,2019-11-29,2017,the accidental spy
Once Upon a Time in Mumbaai,2010,7.4,19229,once upon a time in mumbaai,Once Upon a Time in Mumbaai,2021-08-27,2010,once upon a time in mumbaai
Paris Is Burning,1990,8.2,19217,paris is burning,Paris Is Burning,2017-02-01,1990,paris is burning
"Yes, God, Yes",2019,6.1,19197,"yes, god, yes","Yes, God, Yes",2020-10-22,2020,"yes, god, yes"
Chocolate,2008,6.9,19168,chocolate,Chocolate,2019-11-30,2019,chocolate
Ibiza,2018,5.2,19142,ibiza,Ibiza,2018-05-25,2018,ibiza
White Lines,2020,6.6,19132,white lines,White Lines,2020-05-15,2020,white lines
Africa,2013,8.9,19130,africa,Africa,2016-04-28,2013,africa
One Day at a Time,2017,8.1,19113,one day at a time,One Day at a Time,2019-02-08,2019,one day at a time
The Good Neighbor,2016,6.3,19069,the good neighbor,The Good Neighbor,2016-12-05,2016,the good neighbor
The Sea of Trees,2015,6.1,19067,the sea of trees,The Sea of Trees,2018-11-08,2015,the sea of trees
Maria,2024,6.4,19061,maria,Maria,2019-05-17,2019,maria
Shadow,2018,7.0,19041,shadow,Shadow,2019-11-06,2018,shadow
Woodstock,1970,8.1,18980,woodstock,Woodstock,2019-08-13,2019,woodstock
Mirai,2018,7.0,18980,mirai,Mirai,2020-06-01,2018,mirai
The Cincinnati Kid,1965,7.2,18929,the cincinnati kid,The Cincinnati Kid,2019-11-01,1965,the cincinnati kid
She's the One,1996,6.0,18921,she's the one,She's the One,2020-12-10,2013,she's the one
Inuyasha,2000,7.9,18920,inuyasha,InuYasha,2016-12-15,2001,inuyasha
Eddie Murphy: Delirious,1983,8.1,18887,eddie murphy: delirious,Eddie Murphy: Delirious,2018-04-15,1983,eddie murphy: delirious
The Boys in the Band,2020,6.8,18858,the boys in the band,The Boys in the Band,2020-09-30,2020,the boys in the band
Super Deluxe,2019,8.2,18844,super deluxe,Super Deluxe,2019-06-29,2019,super deluxe
Hot Girls Wanted,2015,6.1,18790,hot girls wanted,Hot Girls Wanted,2015-05-29,2015,hot girls wanted
America's Next Top Model,2003,5.7,18760,america's next top model,America's Next Top Model,2020-11-15,2013,america's next top model
The Haunting in Connecticut 2: Ghosts of Georgia,2013,5.3,18704,the haunting in connecticut 2: ghosts of georgia,The Haunting in Connecticut 2: Ghosts of Georgia,2021-08-01,2013,the haunting in connecticut 2: ghosts of georgia
Sleepover,2004,5.3,18662,sleepover,Sleepover,2020-03-01,2004,sleepover
Message from the King,2016,6.4,18655,message from the king,Message from the King,2017-08-04,2017,message from the king
Boss,2011,8.1,18647,boss,Boss,2020-07-05,2013,boss
The Son,2022,6.5,18615,the son,The Son,2019-07-26,2019,the son
Wakefield,2016,6.3,18601,wakefield,Wakefield,2019-03-02,2016,wakefield
Gangaajal,2003,7.8,18588,gangaajal,Gangaajal,2021-01-08,2003,gangaajal
Kaminey,2009,7.4,18581,kaminey,Kaminey,2018-10-01,2009,kaminey
Pawn Stars,2009,7.2,18565,pawn stars,Pawn Stars,2019-09-15,2010,pawn stars
Don't Think Twice,2016,6.7,18563,don't think twice,Don't Think Twice,2017-05-01,2016,don't think twice
The Invisible Guardian,2017,6.4,18549,the invisible guardian,The Invisible Guardian,2017-08-03,2017,the invisible guardian
Oye Lucky! Lucky Oye!,2008,7.7,18534,oye lucky! lucky oye!,Oye Lucky! Lucky Oye!,2018-11-01,2008,oye lucky! lucky oye!
Dear Santa,2024,5.4,18533,dear santa,Dear Santa,2019-11-04,2011,dear santa
Until Dawn,2015,8.7,18497,until dawn,Until Dawn,2020-01-10,2020,until dawn
How to Be a Latin Lover,2017,6.0,18497,how to be a latin lover,How to Be a Latin Lover,2019-11-01,2017,how to be a latin lover
Metallica Through the Never,2013,7.1,18469,metallica through the never,Metallica Through The Never,2020-10-28,2013,metallica through the never
A Futile and Stupid Gesture,2018,6.7,18464,a futile and stupid gesture,A Futile and Stupid Gesture,2018-01-26,2018,a futile and stupid gesture
Love 101,2020,7.4,18438,love 101,Love 101,2020-04-24,2020,love 101
Holiday in the Wild,2019,6.2,18375,holiday in the wild,Holiday in the Wild,2019-11-01,2019,holiday in the wild
Bonding,2018,7.1,18357,bonding,BONDING,2021-01-27,2021,bonding
The Kindergarten Teacher,2018,6.7,18349,the kindergarten teacher,The Kindergarten Teacher,2018-10-12,2018,the kindergarten teacher
Star-Crossed,2014,7.1,18346,star-crossed,Star-Crossed,2015-04-16,2014,star-crossed
Paradise Hills,2019,5.2,18333,paradise hills,Paradise Hills,2021-09-09,2019,paradise hills
Malevolent,2018,4.9,18326,malevolent,Malevolent,2018-10-05,2018,malevolent
Spinning Out,2020,7.6,18291,spinning out,Spinning Out,2020-01-01,2020,spinning out
Shaun the Sheep,2007,8.2,18289,shaun the sheep,Shaun the Sheep,2020-12-22,2016,shaun the sheep
High Society,1956,6.9,18269,high society,High Society,2019-01-29,2018,high society
Newness,2017,6.3,18247,newness,Newness,2018-02-01,2017,newness
Tell Me Who I Am,2019,7.6,18235,tell me who i am,Tell Me Who I Am,2019-10-18,2019,tell me who i am
We Can Be Heroes,2020,4.7,18233,we can be heroes,We Can Be Heroes,2020-12-25,2020,we can be heroes
Sarah's Key,2010,7.5,18221,sarah's key,Sarah's Key,2019-09-21,2010,sarah's key
The Hater,2020,7.1,18200,the hater,The Hater,2020-07-29,2020,the hater
The In-Laws,2003,5.7,18185,the in-laws,The In-Laws,2017-08-01,2011,the in-laws
Rememory,2017,6.1,18182,rememory,Rememory,2020-06-01,2017,rememory
Torbaaz,2020,5.1,18114,torbaaz,Torbaaz,2020-12-11,2020,torbaaz
Flash of Genius,2008,7.0,18103,flash of genius,Flash of Genius,2017-01-16,2008,flash of genius
KILL la KILL,2013,7.8,18089,kill la kill,Kill la Kill,2019-06-15,2014,kill la kill
American Outlaws,2001,5.9,18086,american outlaws,American Outlaws,2021-06-02,2001,american outlaws
Iqbal,2005,8.1,18056,iqbal,Iqbal,2018-03-01,2006,iqbal
The King: Eternal Monarch,2020,8.1,18041,the king: eternal monarch,The King: Eternal Monarch,2020-04-18,2020,the king: eternal monarch
Mary and the Witch's Flower,2017,6.8,18033,mary and the witch's flower,Mary and the Witch's Flower,2018-07-17,2017,mary and the witch's flower
The Andy Griffith Show,1960,8.4,17999,the andy griffith show,The Andy Griffith Show,2017-07-01,1967,the andy griffith show
Nothing to Hide,2018,6.8,17989,nothing to hide,Nothing to Hide,2018-11-16,2018,nothing to hide
A Fall from Grace,2020,5.9,17974,a fall from grace,A Fall from Grace,2020-01-17,2020,a fall from grace
Race 2,2013,5.4,17962,race 2,Race 2,2018-10-01,2013,race 2
Polaroid,2019,5.2,17961,polaroid,Polaroid,2020-02-09,2019,polaroid
The English Game,2020,7.6,17950,the english game,The English Game,2020-03-20,2020,the english game
Katla,2021,7.0,17912,katla,Katla,2021-06-17,2021,katla
Handsome Devil,2016,7.0,17909,handsome devil,Handsome Devil,2017-08-01,2016,handsome devil
American Heist,2014,5.0,17900,american heist,American Heist,2019-10-23,2014,american heist
The Irregulars,2021,6.1,17887,the irregulars,The Irregulars,2021-03-26,2021,the irregulars
Mujhse Shaadi Karogi,2004,6.7,17855,mujhse shaadi karogi,Mujhse Shaadi Karogi,2019-12-31,2004,mujhse shaadi karogi
Ajab Prem Ki Ghazab Kahani,2009,6.4,17802,ajab prem ki ghazab kahani,Ajab Prem Ki Ghazab Kahani,2020-10-25,2009,ajab prem ki ghazab kahani
